"Count","Name","Tops","Paths"
"2","34-owasp-security-scorecard.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/34-owasp-security-scorecard.md | cmdb-api-data-collection-tool/customer-docs/34-owasp-security-scorecard.md"
"2","32-data-security-and-database-maintenance-runbook.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/32-data-security-and-database-maintenance-runbook.md | cmdb-api-data-collection-tool/customer-docs/32-data-security-and-database-maintenance-runbook.md"
"2","31-api-endpoints-and-data-collection-catalog.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/31-api-endpoints-and-data-collection-catalog.md | cmdb-api-data-collection-tool/customer-docs/31-api-endpoints-and-data-collection-catalog.md"
"2","28-liability-disclaimer-and-indemnity.md","audittoolkit-linux-security-lite, Switch-Exposure-Center","audittoolkit-linux-security-lite/customer-docs/28-liability-disclaimer-and-indemnity.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/28-liability-disclaimer-and-indemnity.md"
"2","30-operational-limits-and-known-constraints.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/30-operational-limits-and-known-constraints.md | cmdb-api-data-collection-tool/customer-docs/30-operational-limits-and-known-constraints.md"
"2","29-tenant-and-workspace-governance-guide.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/29-tenant-and-workspace-governance-guide.md | cmdb-api-data-collection-tool/customer-docs/29-tenant-and-workspace-governance-guide.md"
"2","33-security-faq.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/33-security-faq.md | cmdb-api-data-collection-tool/customer-docs/33-security-faq.md"
"2","ARCHITECTURE.md","docs, Switch-Exposure-Center","docs/ARCHITECTURE.md | Switch-Exposure-Center/docs/ARCHITECTURE.md"
"2","_config.yml","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/_config.yml | audittoolkit-linux-security-lite/docs/_config.yml"
"2","deployment.md","audit-assurance-node, Switch-Exposure-Center","audit-assurance-node/docs/deployment.md | Switch-Exposure-Center/docs/DEPLOYMENT.md"
"2","index.html","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/index.html | audittoolkit-linux-security-lite/docs/index.html"
"2","27-end-user-license-agreement.md","audittoolkit-linux-security-lite, Switch-Exposure-Center","audittoolkit-linux-security-lite/customer-docs/27-end-user-license-agreement.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/27-end-user-license-agreement.md"
"2","LICENSE-AGPL-EXAMPLE.txt","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/licensing-examples/LICENSE-AGPL-EXAMPLE.txt | audittoolkit-linux-security-lite/docs/licensing-examples/LICENSE-AGPL-EXAMPLE.txt"
"2","LICENSE-BSL-EXAMPLE.txt","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/licensing-examples/LICENSE-BSL-EXAMPLE.txt | audittoolkit-linux-security-lite/docs/licensing-examples/LICENSE-BSL-EXAMPLE.txt"
"2","manifest.csv","cmdb-api-data-collection-tool","cmdb-api-data-collection-tool/customer-docs/screenshots/manifest.csv | cmdb-api-data-collection-tool/docs/assets/screenshots/v0.2.5/manifest.csv"
"2","openapi.json","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/openapi.json | audittoolkit-linux-security-lite/docs/openapi.json"
"2","openapi.yaml","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/openapi.yaml | audittoolkit-linux-security-lite/docs/openapi.yaml"
"2","changelog.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/changelog.md | cmdb-api-data-collection-tool/customer-docs/CHANGELOG.md"
"2","27-certificate-and-key-lifecycle-runbook.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/27-certificate-and-key-lifecycle-runbook.md | cmdb-api-data-collection-tool/customer-docs/27-certificate-and-key-lifecycle-runbook.md"
"2","20-core-server-installation-linux-windows.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/20-core-server-installation-linux-windows.md | cmdb-api-data-collection-tool/customer-docs/20-core-server-installation-linux-windows.md"
"2","25-managed-agent-server-operations-guide.md","Asset-Command-Centre, cmdb-api-data-collection-tool","Asset-Command-Centre/customer-docs/asset-command-center/25-managed-agent-server-operations-guide.md | cmdb-api-data-collection-tool/customer-docs/25-managed-agent-server-operations-guide.md"
"2","00-overview.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/00-overview.md | audittoolkit-linux-security-lite/docs/00-overview.md"
"2","03-developer-guide.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/03-developer-guide.md | audittoolkit-linux-security-lite/docs/03-developer-guide.md"
"2","04-audit-authoring.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/04-audit-authoring.md | audittoolkit-linux-security-lite/docs/04-audit-authoring.md"
"2","05-ci-cd.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/05-ci-cd.md | audittoolkit-linux-security-lite/docs/05-ci-cd.md"
"2","06-library-api-reference.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/06-library-api-reference.md | audittoolkit-linux-security-lite/docs/06-library-api-reference.md"
"2","07-architecture.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/07-architecture.md | audittoolkit-linux-security-lite/docs/07-architecture.md"
"2","07-cis-nist-compliance-mapping.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/07-cis-nist-compliance-mapping.md | audittoolkit-linux-security-lite/docs/07-cis-nist-compliance-mapping.md"
"2","07-elevation-requirements.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/07-elevation-requirements.md | audittoolkit-linux-security-lite/docs/07-elevation-requirements.md"
"2","08-openrc-migration-guide.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/08-openrc-migration-guide.md | audittoolkit-linux-security-lite/docs/08-openrc-migration-guide.md"
"2","09-linux-least-privilege-guide.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/09-linux-least-privilege-guide.md | audittoolkit-linux-security-lite/docs/09-linux-least-privilege-guide.md"
"2","11-orchestrator-examples.md","Audit-Tool-, audittoolkit-linux-security-lite","Audit-Tool-/docs/11-orchestrator-examples.md | audittoolkit-linux-security-lite/docs/11-orchestrator-examples.md"
